Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
Philadelphia,29,97.4,41.3,21.5,8.3,6,15.6,21.7,31.8,9.5,104.2,-22.9
San Antonio,2,105.6,44,23.4,8,5.7,12.7,18.3,33.5,10.5,124.6,15.2
Utah,3,100.4,42.8,20.1,6.8,4.8,12.7,19.1,33.7,9.1,113.8,8.4
L.A.Clippers,4,107.8,42.6,22.2,7.4,4.1,12.4,19.9,33.7,9,121.7,5.9
Washington,5,109,42.8,23.7,8.4,4.5,13.4,21.5,32.5,10.4,124.4,5.2
Toronto,6,105.8,42.8,18.6,8.2,4.9,11.9,20.8,32.6,10.2,118.3,4.9
Houston,7,114.4,44.2,24.6,8.1,4.3,14.3,20,33.4,10.8,128.2,4
Miami,8,103.2,43.7,21.2,7.2,5.8,12.6,20.5,33,10.7,115.3,2.7
Cleveland,9,111.4,43.5,22.6,6.8,4.2,13.1,18.2,34.1,9.4,124.9,2.4
Boston,10,107.5,41.2,25.5,7.6,4.1,12.7,20.6,32.1,9.1,122.5,2.3
Milwaukee,11,102.9,40.3,24,8.1,5.3,13.4,20.3,31.5,8.8,118.9,1.5
Denver,12,111.7,46.3,25.3,7,4,14.5,19.1,34.5,11.8,127.9,1
Chicago,13,102.4,46.2,22.4,7.8,4.9,13,17.8,34.1,12.2,118.1,1
Memphis,14,100.2,42.3,21.1,7.8,4.1,12.3,22.4,31.7,10.6,111.4,0.9
Oklahoma City,15,106.5,46.5,20.9,7.9,5.3,14.5,21,34.2,12.3,117.9,0.8
Minnesota,16,105.6,42.5,23.7,8,4.5,13.5,20.1,31,11.5,120.9,0.7
Indiana,17,105.3,42,22.5,8.2,5,13.2,19.6,32.8,9.2,120.2,0.7
Charlotte,18,104.9,43.6,23.1,7,4.9,11,16.6,34.8,8.8,120.4,-1.8
Atlanta,19,103.3,44.4,23.5,8,4.8,15.3,18.4,34,10.4,115.7,-2.3
Portland,20,107.6,43.7,20.9,7,5,13.2,21.2,33.5,10.1,118.9,-3.4
New York,21,104.3,45.1,21.8,7.1,5.5,13.2,20.3,33.2,12,117.4,-3.8
New Orleans,22,104.3,43.8,22.8,7.8,5.6,12.3,18.2,35.1,8.7,118.6,-4
Detroit,23,101.3,45.7,21.1,7,3.8,11.4,17.9,34.6,11.1,113.3,-4.7
Dallas,24,97.9,38.7,20.8,7.5,3.7,11.2,19.1,30.7,8,107.6,-7.5
Sacramento,25,102.8,41.1,22.5,7.6,4,14.1,20.3,32.4,8.7,114.4,-9
Philadelphia,26,102.4,42.8,23.8,8.4,5.1,16,21.9,33,9.8,114,-9.1
Phoenix,27,107.7,45,19.6,8.2,4.9,14.9,24.8,33,11.9,115.9,-10.4
Orlando,28,101.1,43.2,22.2,7.1,4.9,12.9,19.3,33.4,9.9,111.4,-14.2
Brooklyn,29,105.8,43.9,21.4,7.3,4.7,15.9,21,35.1,8.8,114.5,-15.5
Philadelphia,2,109.7,47.7,26.9,8.2,5,15.7,22.2,36.5,11.2,130,16.8
Toronto,3,111.2,43.6,24.1,7.4,6.1,12.9,21.8,33.8,9.7,129.1,13.8
Houston,4,111.1,43.4,21.1,8.5,4.9,12.9,19.4,34.4,9,124.6,9.3
Utah,5,103.9,43.5,22.2,8.5,5.1,14.2,19.7,34.4,9.1,119.2,8.9
New Orleans,6,111.5,44.5,26.8,8,5.8,14.4,19.2,35.9,8.6,131.7,7.6
San Antonio,7,102.4,43.8,22.6,7.7,5.5,12.6,17.4,33.6,10.2,118.1,5.6
Boston,8,103.5,43.9,22.2,7.3,4.5,12.9,19.9,34.7,9.3,117,5.4
Washington,9,106.6,42.8,25.1,7.9,4.3,13.9,21.3,32.9,9.9,122.3,4.1
Minnesota,10,109.1,42.1,22.7,8.2,4.1,11.8,18.2,31.9,10.2,124.6,3.7
Indiana,11,105.2,42.2,22.1,8.7,4.1,12.7,19.1,32.7,9.5,119.9,3.7
Denver,12,110,44.5,25.1,7.7,4.9,14.3,18.7,33.5,11,126.7,3.2
Portland,13,105.6,45.3,19.5,7.1,5.1,13.1,19.5,35.1,10.2,117.5,3
Oklahoma City,14,107.4,45,21,9.1,5,13.5,20.3,32.7,12.3,118.9,2.1
Milwaukee,15,106.1,39.8,23.1,8.6,5.5,13.1,21.5,31.6,8.2,121.9,2
Miami,16,103.4,43.3,22.7,7.6,5.4,13.8,20.6,34,9.3,117.2,1.8
L.A.Lakers,17,108.1,46.4,23.8,7.7,4.7,15.3,21.2,35.7,10.7,121,-2.8
Cleveland,18,108.8,41.9,22.5,6.9,3.9,13,18.8,33.2,8.8,121.2,-3.6
L.A.Clippers,19,109,43.9,22.3,7.7,4.5,14.1,20,33.8,10.1,121.6,-3.6
Detroit,20,103.8,43.7,22.8,7.7,3.9,12.8,18.4,33.6,10.1,116.2,-4.2
Charlotte,21,108.2,45.4,21.6,6.8,4.6,12.3,17.2,35.4,10,119.9,-4.6
New York,22,104.5,44,23.3,6.7,5.1,14.2,20.5,33.6,10.5,118.3,-4.7
Brooklyn,23,106.6,44.4,23.7,6.3,4.8,14.2,20.6,34.8,9.6,117.8,-9
Dallas,24,102.3,41.3,22.7,7,3.7,11.8,19.2,33.1,8.1,113.1,-10.2
Orlando,25,103.4,41.7,23.4,7.5,4.9,14,19.3,32.9,8.8,115,-11.2
Memphis,26,99.3,40.6,21.5,7.5,4.9,14.5,23.2,31,9.5,108.8,-11.2
Atlanta,27,103.4,41.9,23.7,7.8,4.2,15,19.6,32.8,9,114.3,-13.6
Sacramento,28,98.8,40.9,21.6,7.9,4.1,13.2,20,31.4,9.5,108.3,-15
Chicago,29,102.9,44.7,23.5,7.6,3.5,13.3,19.2,35.1,9.6,114.1,-16.7
Milwaukee,1,117.3,50.1,25.9,7.3,6,13.1,19.9,40.7,9.4,140,21.5
Golden State,2,116.9,45.6,29.2,7.5,6.3,13.9,21.8,35.8,9.8,142,20.5
Utah,3,110.9,46.4,25.8,8.1,5.9,14.7,21.1,36.3,10.1,129.4,13
Philadelphia,4,114.4,47.9,26.6,7.2,5.3,14.6,21.4,36.9,10.9,133.9,12.2
Boston,6,111.4,44.9,25.8,8.3,5.2,12.6,20.4,35.3,9.6,130.6,11.6
Denver,7,110.4,46.6,26.9,7.4,4.5,12.3,20.3,34.5,12.1,129.9,9.2
Indiana,8,107.3,42.9,25.7,8.7,4.9,13.2,19.5,33.7,9.3,125.1,7.4
Portland,9,113.8,47.5,22.5,6.7,5,13.2,20.7,35.8,11.7,129.1,5.2
San Antonio,10,111,44.7,24.3,6,4.7,11.5,18.2,35.4,9.3,129.2,4.4
Oklahoma City,11,113.9,47.8,23.3,9.2,5.2,13.7,22.5,35.4,12.4,127.5,2.6
Miami,12,105.7,46.4,24.3,7.6,5.4,14.1,20.9,35.1,11.2,120.3,1.8
Orlando,13,106.4,45.3,25.2,6.6,5.4,12.8,18.6,35.3,10,123.1,1.6
Houston,14,113.3,42.1,20.9,8.6,4.9,12.9,22,32,10.1,123.8,0.8
New Orleans,15,115.4,47.3,27,7.4,5.4,14.5,21.1,36.2,11.1,133.9,-1
L.A.Clippers,16,115.1,45.1,24.1,6.9,4.6,13.8,23.5,35.4,9.7,129.7,-2.2
Minnesota,17,112.5,44.8,24.6,8.3,5,12.6,20.3,33.5,11.3,127.8,-2.7
Sacramento,18,114.2,45.4,25.4,8.3,4.4,12.9,21.4,34.4,11,128.6,-2.8
L.A.Lakers,19,111.8,46.6,25.6,7.5,5.4,15.2,20.7,36.4,10.2,126.7,-2.9
Memphis,20,103.5,41.8,23.9,8.3,5.5,13.2,22,33,8.8,118.2,-3
Dallas,21,108.9,45.3,23.4,6.5,4.3,13.6,20.1,35.2,10.1,120.2,-6
Brooklyn,22,112.2,46.2,23.6,6.6,4.1,14.4,21.6,35.2,11,122.2,-6
Washington,23,114,42.3,26.3,8.3,4.6,13.6,20.7,32.6,9.7,128.5,-7
Detroit,24,106.6,44.9,22.5,7,4,12.8,22.2,33.5,11.4,116.5,-7.1
Charlotte,25,110.7,43.9,23.2,7.2,5,11.6,18.9,33.9,10,124,-8
Atlanta,26,113.3,46.1,25.8,8.2,5.2,16.6,23.6,34.5,11.6,125.8,-12.7
Phoenix,27,107.5,40.4,23.9,8.9,5.1,15.2,23.6,31.3,9.1,118.4,-17.9
Chicago,28,104.9,42.9,21.9,7.3,4.3,13.5,20.3,34.2,8.7,115.4,-18.1
New York,29,104.6,44.8,20.1,6.8,5.2,13.4,20.9,34.3,10.5,112.1,-21.7
Milwaukee,1,117.8,51.1,25.7,7.2,5.7,14.6,19.9,41.7,9.5,138.9,21
Boston,3,112.8,45.9,22.9,8,5.5,13.1,21.7,35.6,10.3,129.5,12.6
Toronto,4,112.3,45.3,25.2,8.6,5,13.8,21.8,36,9.3,130,11.3
L.A.Clippers,5,116,47.1,23.3,7.1,4.5,13.6,22.3,36.6,10.5,131.7,10.7
Philadelphia,6,110.2,45.5,25.4,7.9,5.3,13.4,21,34.9,10.6,128.3,9.4
Miami,7,111.6,43.7,25.7,7.4,4.4,13.6,20.4,35.4,8.3,129,7.7
Indiana,8,109,42.5,25.7,7.5,5.2,12.8,20,33.9,8.6,126.8,6.6
Dallas,9,117,46.7,24.4,6.2,4.8,12.2,19.7,36.3,10.3,132.9,5.2
Denver,10,110.5,43.4,25.9,7.6,4.5,13.1,20.8,33,10.4,128.1,4.8
Memphis,11,112.8,46.6,27,7.8,5.5,14.6,21.2,36.2,10.4,131.5,4.1
Utah,12,111.5,44.6,22.3,6.1,4,14.2,20.3,35.4,9.1,124.4,3.9
Phoenix,13,113.6,43.6,27.2,7.6,4,14.2,22,33.8,9.8,130.9,3.5
Oklahoma City,14,109.8,43.5,21.4,7.4,4.8,13.3,19.1,35.2,8.3,122.8,1.9
San Antonio,15,114.1,44.6,24.7,7.3,5.5,12.2,19.4,35.6,9,132.2,0.5
New Orleans,16,115.8,46.5,26.8,7.5,5,15.9,21.2,35.4,11.1,130.4,-1.3
Houston,17,116.4,43.5,21.6,8.8,4.9,14,21.8,34.2,9.3,126.4,-2.9
Brooklyn,18,111.5,47.7,24.5,6.4,4.5,14.5,21,37.1,10.6,123.8,-2.9
Orlando,19,107.3,44.4,23.9,8.1,5.3,12.3,18.5,34.4,10.1,122.3,-3.1
Sacramento,20,110.1,42.6,23.8,7.7,4.1,13.7,22.2,32.9,9.7,122.4,-5.2
Portland,21,114.6,45.1,20.4,6.4,6,12.7,21.9,34.9,10.1,126.3,-5.9
Washington,22,114.4,42.1,25,8,4.3,13.5,22.7,31.9,10.2,125.7,-10.8
Chicago,23,106.8,41.9,23.2,10,4.1,14.6,21.8,31.4,10.5,117.4,-10.8
New York,24,105.8,46.5,22.1,7.6,4.7,13.9,22.2,34.5,12,116.3,-10.9
Minnesota,25,113.3,44.9,23.8,8.6,5.7,14.7,21.4,34.3,10.6,124,-11
Detroit,26,107.2,41.7,24.1,7.4,4.5,14.6,19.7,32,9.8,118.3,-11.3
Golden State,27,106.3,42.8,25.6,8.2,4.6,14.3,20.1,32.9,9.9,119.1,-15.8
Atlanta,28,111.8,43.3,24,7.8,5.1,15.7,23.1,33.4,9.9,121.3,-17.8
Charlotte,29,102.9,42.8,23.8,6.6,4.2,13.9,18.8,31.8,11,112.3,-19.2
Philadelphia,1,114,45,23.9,8.9,6.2,13.5,20.6,35.1,9.9,132.9,14.8
Phoenix,2,113.8,42.8,26.1,7,4.3,11.8,19.2,34.3,8.5,134.4,14.7
Utah,3,116.5,47.5,23.1,6.4,5,13.4,18.9,37,10.5,134.2,14.5
Brooklyn,4,117.7,44.2,26.2,6.8,5.2,12.8,19.3,35.4,8.8,138.7,13.3
L.A.Clippers,6,113.5,43.5,23.6,7,4.1,11.8,19.3,34.3,9.3,132.2,13
Denver,7,115,44.3,26.6,7.8,4.5,12.6,19.2,33.7,10.7,135.3,8.2
Memphis,8,113.3,46.3,26.4,9,5.1,12.5,18.9,35.1,11.2,133.5,4.2
Golden State,9,113.5,43.1,27.6,8.2,4.8,14.8,21.2,35.1,8,130.9,3.9
L.A.Lakers,10,108.5,44.2,24.3,7.8,5.2,14.6,19.2,34.5,9.7,123.7,3.2
New York,11,106.4,45.2,21.2,7,4.9,12.1,20.4,35.4,9.8,120.8,2.1
Atlanta,12,112.2,45,23.3,6.9,4.7,12.5,19.7,34.7,10.3,128.4,2.1
Indiana,13,115.7,42.8,27.5,8.5,6.3,13.1,20.2,33.7,9,135.4,1.8
Dallas,14,111.9,43.1,22.7,6.2,4.1,11.3,19.5,33.8,9.3,125.6,1.3
Boston,15,112.7,44.1,23.3,7.6,5.4,13.3,20.4,33.3,10.8,127.4,1
New Orleans,16,114.6,47.4,26,7.6,4.4,13.9,18,35.7,11.8,132.4,0.8
Chicago,17,110.7,44.9,26.8,6.7,4.2,14.5,18.9,35.3,9.6,128.7,0.7
Miami,18,107.5,41.5,26.1,7.9,3.9,13.3,19,33.4,8.1,124.1,-0.4
Portland,19,116.4,44.3,21.4,6.8,5.1,10.8,19.2,33.8,10.5,129.8,-2.8
Washington,20,116.3,45.2,25.3,7.1,4.3,13.9,21.8,35.5,9.7,130.6,-3.9
Toronto,21,111.3,41.5,24.1,8.6,5.4,12.5,21.2,32.1,9.4,125.6,-4.2
San Antonio,22,110.9,44,24.4,7,5.1,10.9,18,34.6,9.4,127,-4.4
Charlotte,23,109.6,43.7,26.8,7.8,4.8,14.2,18,33.1,10.5,125.6,-5.7
Sacramento,24,113.7,41.4,25.5,7.5,5,12.8,19.4,32.1,9.4,128.7,-7.7
Detroit,25,106.6,42.8,24.2,7.3,5.1,14.2,20.5,33.1,9.7,119.3,-10.4
Minnesota,26,112.1,43.5,25.6,8.8,5.5,13.7,20.9,33,10.5,126.3,-11.2
Cleveland,27,103.8,42.8,23.8,7.8,4.5,14.4,18.2,32.3,10.5,115.3,-17.8
Houston,28,108.8,42.6,23.6,7.6,5,14.2,19.5,33.3,9.3,118.3,-20.4
Orlando,29,104,45.5,21.8,6.9,4.5,12.3,17.2,35.1,10.4,114.6,-21.3
Phoenix,1,114.8,45.1,27.3,8.5,4.5,12.3,20,35.5,9.7,137.6,20.2
Boston,3,111.8,46,24.8,7.3,5.8,13.1,18.6,35.5,10.6,132.1,17.3
Memphis,4,115.6,49,26,9.7,6.5,12.5,19.8,34.9,14,137.4,13.2
Miami,5,110.1,43.7,25.6,7.5,3.2,13.8,20.5,33.9,9.8,127,10.9
Utah,6,113.3,46.5,22.3,7,4.9,13.1,18.9,35.7,10.8,129.9,10.4
Philadelphia,7,110.2,42.3,23.7,7.7,5.3,11.7,19.4,33.7,8.5,128.3,6.6
Brooklyn,8,112.9,44.2,25.3,7.2,5.6,13.3,20.4,34,10.2,131.3,5.3
Milwaukee,9,115.2,46.9,23.8,7.5,4,12.8,18.3,36.6,10.3,131.8,5
Denver,10,112.6,44,27.7,7.2,3.7,13.8,20.1,34.8,9.3,132.4,4.8
Dallas,11,107.9,42.8,23.3,6.7,3.9,11.5,19.7,33.6,9.1,122.3,3.6
Cleveland,12,107.7,44,25.2,7.1,4.2,13.3,17.5,33.9,10.2,124.7,3.6
Minnesota,13,116,44.3,25.7,8.8,5.6,13.8,22,33,11.3,132.1,3.2
San Antonio,14,113,45.2,27.8,7.6,4.9,12.2,18.1,34.2,11,131.7,2
Atlanta,15,113.8,44,24.5,7.1,4.2,11.4,18.8,34,10,131.3,1.8
Charlotte,16,115.2,44.6,28,8.5,4.9,12.7,19.9,33.7,10.9,134.2,1
New Orleans,17,109.2,45.5,24.8,8.1,4,13.2,19.7,33.4,12.1,125.6,0.5
L.A.Clippers,18,108.3,43.9,23.9,7.4,4.9,13,18.8,34.8,9.1,123.9,-0.1
Toronto,19,109.3,45.1,22,8.9,4.6,11.6,19.7,31.8,13.3,122.6,-1.3
Chicago,20,111.3,42.4,23.8,7.2,4.1,12.1,18.8,33.7,8.8,127.3,-1.8
New York,21,106.5,46.1,21.9,6.9,4.9,12.4,20.4,34.6,11.5,119.2,-2.2
Washington,22,108.6,43.1,25,6.4,5,12.6,18.8,34.1,9,125.3,-2.9
Indiana,23,111.5,43.9,25.4,7.1,5.6,13.6,20.4,32.6,11.3,126.8,-6.9
L.A.Lakers,24,112.1,44,24,7.6,5.2,13.9,20.2,34.5,9.5,125.8,-7.5
Sacramento,25,110.3,42.9,23.7,7.2,4.5,13.5,18.9,33.4,9.6,122.1,-13.4
Orlando,26,104.2,44.3,23.7,6.8,4.5,13.8,19.7,35.2,9.1,115.5,-16
Detroit,27,104.8,43,23.5,7.7,4.8,13.4,21.9,32,11,115.1,-16.7
Portland,28,106.2,42.9,22.9,8,4.5,13.7,21.1,32.5,10.4,117.1,-19
Oklahoma City,29,103.7,45.6,22.2,7.6,4.6,13.3,18.3,35.2,10.4,114.8,-19.2
