Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
Golden State,27,95.5,45.6,22.6,8.9,4.3,15.3,24.9,29.7,15.9,103.2,-19.2
Chicago,28,84.8,40.9,20,7.9,4.7,17.5,23.3,28.3,12.6,89.3,-22.2
L.A.Clippers,29,92,40.6,18,7,6,15.4,22.2,29,11.6,95.4,-25.8
Utah,1,96.6,40.6,25.6,7.9,5.6,15,25.8,29.1,11.6,113.7,14.9
San Antonio,2,95.5,44,21.4,6.8,6.9,13.4,19.2,33.1,11,111.8,14.6
Portland,4,95.2,41.8,23.7,8.1,5.1,14.8,21.3,30.2,11.6,111.9,12.2
Charlotte,5,92.3,44.3,22.8,8.2,5.5,13.4,21.3,31.6,12.7,107.7,8.9
Minnesota,6,96.6,42.3,25.1,8.3,5.6,13.4,23.2,30.2,12.2,114.4,8.4
Sacramento,7,101.4,45.3,22.1,9.5,5.3,14.5,19.9,32.9,12.3,116,8.4
Milwaukee,8,99.8,42.8,22.4,7.8,5.1,13,23.6,30.8,12.1,114.9,7.7
Toronto,9,96.9,43.7,24.2,7.4,6.3,12.7,21.3,30.3,13.4,112.4,7.2
Phoenix,10,93.8,42.7,23.1,9.5,5.3,14.6,22.8,30.8,11.9,106.9,6
Philadelphia,11,94.2,44.6,20.5,8.3,5,14.3,20.5,31.3,13.3,106.9,5.3
New York,12,88.7,40,18.4,6.6,4.2,13.8,22.8,30.7,9.3,98,5.2
Dallas,13,99.6,41.4,20.8,7.4,6,13.1,23.3,31.1,10.4,112.4,4.6
Indiana,14,92.3,42.7,21.5,6.8,5.9,14.2,23.5,31.5,11.3,105.2,2.4
Miami,15,88.5,39.4,19.8,7.6,3.8,13.3,21.2,29.6,9.8,96.9,1.6
Houston,16,97.2,42,19.7,7.2,4.4,13.9,20.2,30.8,11.2,107.1,1.1
Orlando,17,97.7,43,22,8.2,5.9,14.7,25.3,29.9,13.1,107.6,-0.9
Seattle,18,97.3,41.7,21.9,8,5,14.6,21.1,29.5,12.2,108.6,-3.9
Denver,19,96.6,44.2,24,6.7,6.6,13.3,22.2,31.5,12.7,111,-5.1
Detroit,20,95.6,45.5,19.9,7.5,5.5,15.4,23.8,32,13.5,102.6,-6.2
L.A.Clippers,21,92.5,42.9,19.3,6,6.3,14.8,21.6,31.2,11.7,100.9,-6.7
Cleveland,22,92.2,42.1,20.8,7.8,5.3,15.8,23.2,29.8,12.4,102.2,-8.7
Boston,23,94.6,39.8,20.8,9.4,4.1,15.1,23.8,28.9,10.9,101.4,-9.8
Atlanta,24,91,42.9,19,7.7,4.7,15.8,22.7,30.4,12.5,98,-12.3
Vancouver,25,91.7,40.5,23.2,7.2,4.4,15.1,21.1,29.6,10.9,101.8,-12.6
New Jersey,26,92.1,39.6,19.5,7.9,5,13.9,24.2,28.5,11.1,98,-14.6
Washington,27,93.2,41.3,20.1,7.7,4.7,16.1,23.3,28.9,12.4,100.1,-14.8
Chicago,28,87.6,38.9,22.1,8.2,4.6,14.6,23.2,27.6,11.3,95.7,-18
Golden State,29,92.5,45.5,21.8,9.1,5,15.3,21.1,29.1,16.4,99.6,-22
